source,component,file,non_theme_colors_before,non_theme_colors_remaining,status,colors_found_before,remaining_colors,categories_before
insights-ui,GenAIBusinessCases,insights-ui/src/components/genai-business/GenAIBusinessCases.tsx,84,42,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x10; text-gray-300 x8; text-gray-400 x6; text-green-400 x3; group-hover:text-indigo-400 x3; to-cyan-500 x2; to-pink-500 x2; border-gray-700/50 x2; bg-gray-800/60 x2; border-gray-600/50 x2; hover:border-indigo-500/50 x2; text-red-400 x2; text-blue-400 x2; from-blue-500; from-green-500; to-emerald-500; from-orange-500; to-red-500; from-purple-500; from-indigo-500; to-purple-500; from-teal-500; from-rose-500; from-indigo-900/20; via-gray-900; to-purple-900/20; bg-indigo-500/10; bg-purple-500/10; from-indigo-500/20; to-purple-500/20; text-indigo-300; ring-indigo-500/30; from-indigo-400; to-purple-400; from-gray-800/50; to-gray-900/50; hover:border-gray-600/50; border-gray-600; bg-gray-800/50; hover:bg-gray-700/50; hover:border-gray-500; text-indigo-400; text-purple-400; bg-gray-800/40; border-gray-600/40; from-indigo-600/10; to-purple-600/10; from-indigo-600; to-purple-600; hover:from-indigo-500; hover:to-purple-500,text-green-400 x3; to-cyan-500 x2; to-pink-500 x2; hover:border-indigo-500/50 x2; text-red-400 x2; text-white x2; from-blue-500; from-green-500; to-emerald-500; from-orange-500; to-red-500; from-purple-500; from-indigo-500; to-purple-500; from-teal-500; from-rose-500; from-indigo-900/20; via-gray-900; to-purple-900/20; bg-indigo-500/10; bg-purple-500/10; from-indigo-500/20; to-purple-500/20; ring-indigo-500/30; from-indigo-400; to-purple-400; from-gray-800/50; to-gray-900/50; text-purple-400; from-indigo-600/10; to-purple-600/10; from-indigo-600; to-purple-600; hover:from-indigo-500; hover:to-purple-500,white-black; structural-gray; status-success; brand-indigo; status-info; accent-other; status-danger; status-warning
insights-ui,ComparisonPageClient,insights-ui/src/app/stocks/comparison/ComparisonPageClient.tsx,68,19,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,bg-gray-800 x8; bg-gray-900 x6; text-white x5; border-gray-200 x4; border-gray-300 x3; focus:ring-blue-500 x3; text-gray-400 x3; text-gray-300 x3; bg-blue-100 x2; text-blue-800 x2; hover:bg-gray-600 x2; text-gray-500 x2; border-blue-500 x2; divide-gray-200 x2; text-gray-100 x2; bg-green-900 x2; text-green-200 x2; bg-red-900 x2; text-red-200 x2; hover:text-white x2; text-red-600; hover:text-red-800; hover:bg-blue-200; disabled:bg-gray-800; text-gray-600; hover:bg-gray-700; bg-yellow-100; text-yellow-800; border-gray-700,bg-blue-100 x2; text-blue-800 x2; border-blue-500 x2; bg-green-900 x2; text-green-200 x2; bg-red-900 x2; text-red-200 x2; text-red-600; hover:text-red-800; hover:bg-blue-200; bg-yellow-100; text-yellow-800,structural-gray; white-black; status-info; status-success; status-danger; status-warning
insights-ui,missing-reports/page,insights-ui/src/app/admin-v1/missing-reports/page.tsx,64,11,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-300 x17; text-gray-400 x7; bg-gray-700 x5; border-gray-600 x4; bg-gray-800 x4; text-gray-200 x3; focus:border-blue-500 x3; focus:ring-blue-500 x3; text-red-400 x3; border-red-500 x2; text-blue-400 x2; hover:text-gray-300 x2; focus:border-red-500; focus:ring-red-500; text-green-400; hover:text-green-300; hover:text-red-300; hover:text-blue-300; divide-gray-200; divide-gray-700; text-yellow-400,text-red-400 x3; border-red-500 x2; focus:border-red-500; focus:ring-red-500; text-green-400; hover:text-green-300; hover:text-red-300; text-yellow-400,structural-gray; status-info; status-danger; status-success; status-warning
insights-ui,MoveTickersModal,insights-ui/src/app/admin-v1/ticker-management/MoveTickersModal.tsx,56,27,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-900 x5; dark:text-gray-100 x5; text-gray-600 x5; dark:text-gray-400 x5; bg-gray-50 x3; dark:bg-gray-800 x3; bg-blue-100 x2; dark:bg-blue-900 x2; text-blue-800 x2; dark:text-blue-200 x2; text-gray-400 x2; text-red-500 x2; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-800; text-red-600; dark:text-red-400; text-red-800; dark:text-red-200; text-red-700; dark:text-red-300; bg-red-600; hover:bg-red-700; bg-blue-50; dark:bg-blue-900/20; border-blue-200; dark:border-blue-800; text-blue-700; dark:text-blue-300,bg-blue-100 x2; dark:bg-blue-900 x2; text-blue-800 x2; dark:text-blue-200 x2; text-red-500 x2; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-800; text-red-600; dark:text-red-400; text-red-800; dark:text-red-200; text-red-700; dark:text-red-300; bg-red-600; hover:bg-red-700; bg-blue-50; dark:bg-blue-900/20; border-blue-200; dark:border-blue-800; text-blue-300,structural-gray; status-info; status-danger
insights-ui,AddTickersForm,insights-ui/src/components/public-equitiesv1/AddTickersForm.tsx,54,32,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,dark:text-gray-300 x3; text-gray-500 x2; dark:text-gray-400 x2; text-blue-600 x2; text-red-600 x2; text-gray-700 x2; text-green-700 x2; dark:text-green-300 x2; text-yellow-800 x2; dark:text-yellow-200 x2; bg-blue-50; border-blue-200; hover:bg-blue-100; dark:bg-blue-900/20; dark:text-blue-400; dark:border-blue-800; dark:hover:bg-blue-900/30; hover:text-red-800; border-gray-200; dark:border-gray-800; bg-gray-50; dark:bg-gray-900/20; border-gray-300; dark:border-gray-600; focus:ring-blue-500; dark:focus:ring-blue-400; dark:text-gray-100; placeholder-gray-500; dark:placeholder-gray-400; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-800; dark:text-red-400; bg-green-50; dark:bg-green-900/20; border-green-200; dark:border-green-800; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-800; hover:text-blue-800,text-red-600 x2; text-green-700 x2; dark:text-green-300 x2; text-yellow-800 x2; dark:text-yellow-200 x2; text-blue-600; bg-blue-50; border-blue-200; hover:bg-blue-100; dark:bg-blue-900/20; dark:text-blue-400; dark:border-blue-800; dark:hover:bg-blue-900/30; hover:text-red-800; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-800; dark:text-red-400; bg-green-50; dark:bg-green-900/20; border-green-200; dark:border-green-800; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-800,structural-gray; status-info; status-danger; status-success; status-warning
insights-ui,etf-generation-requests/page,insights-ui/src/app/admin-v1/etf-generation-requests/page.tsx,51,17,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-300 x8; bg-gray-800 x5; bg-gray-700 x3; bg-gray-400 x2; bg-red-500 x2; bg-green-500 x2; bg-yellow-500 x2; bg-blue-500 x2; text-gray-400 x2; text-blue-400 x2; text-gray-200 x2; divide-gray-200; divide-gray-700; text-gray-500; bg-blue-900; text-blue-200; bg-red-900; text-red-200; bg-green-900; text-green-200; hover:text-blue-300; border-blue-500; border-gray-500; border-red-500; border-green-500; bg-gray-900; border-gray-700; focus:ring-blue-500; focus:border-blue-500; hover:text-white,bg-red-500 x2; bg-green-500 x2; bg-yellow-500 x2; bg-blue-500 x2; bg-blue-900; text-blue-200; bg-red-900; text-red-200; bg-green-900; text-green-200; border-blue-500; border-red-500; border-green-500,structural-gray; status-danger; status-success; status-warning; status-info; white-black
insights-ui,TopNav,insights-ui/src/components/core/TopNav/TopNav.tsx,50,6,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-900 x6; dark:text-white x6; text-indigo-600 x4; text-indigo-400 x4; bg-white x4; dark:text-gray-400 x3; dark:bg-gray-900 x2; hover:text-indigo-600 x2; dark:hover:text-indigo-400 x2; text-gray-400 x2; dark:text-gray-500 x2; outline-gray-900/5 x2; dark:bg-gray-800 x2; hover:bg-gray-50 x2; text-gray-600 x2; dark:outline-white/10 x2; dark:hover:bg-white/5 x2; text-gray-700,outline-gray-900/5 x2; dark:outline-white/10 x2; dark:hover:bg-white/5 x2,structural-gray; white-black; brand-indigo
insights-ui,StockScenarioLinkColumns,insights-ui/src/components/stock-scenarios/StockScenarioLinkColumns.tsx,48,16,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-500 x5; border-[#374151] x5; text-gray-300 x4; text-gray-400 x4; bg-[#111827] x4; text-gray-200 x3; text-white x3; bg-emerald-900/40; text-emerald-200; border-emerald-700/60; bg-sky-900/40; text-sky-200; border-sky-700/60; bg-amber-900/40; text-amber-200; border-amber-700/60; bg-gray-800; border-gray-600; bg-rose-900/40; text-rose-200; border-rose-700/60; text-emerald-300; text-red-300; hover:border-blue-500; hover:bg-[#0f1623]; bg-[#1F2937]; focus:border-[#F59E0B],bg-emerald-900/40; text-emerald-200; border-emerald-700/60; bg-sky-900/40; text-sky-200; border-sky-700/60; bg-amber-900/40; text-amber-200; border-amber-700/60; bg-rose-900/40; text-rose-200; border-rose-700/60; text-emerald-300; text-red-300; hover:border-blue-500; focus:border-amber-500,structural-gray; arbitrary-hex; white-black; status-success; status-info; status-warning; status-danger
insights-ui,EtfReportsTable,insights-ui/src/app/admin-v1/etf-reports/EtfReportsTable.tsx,45,13,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-300 x16; bg-gray-700 x4; bg-green-900 x2; text-green-200 x2; bg-red-900 x2; text-red-200 x2; border-gray-500 x2; text-indigo-500 x2; focus:ring-indigo-500 x2; bg-gray-800 x2; bg-blue-900; text-blue-200; bg-orange-900; text-orange-200; divide-gray-200; divide-gray-700; bg-indigo-900/20; text-blue-400; text-gray-400,bg-green-900 x2; text-green-200 x2; bg-red-900 x2; text-red-200 x2; bg-blue-900; text-blue-200; bg-orange-900; text-orange-200; bg-indigo-900/20,structural-gray; status-success; status-danger; brand-indigo; status-info; status-warning
insights-ui,BulkCsvUploadModal,insights-ui/src/app/admin-v1/ticker-management/BulkCsvUploadModal.tsx,45,25,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-700 x4; dark:text-gray-300 x4; dark:text-gray-400 x4; text-gray-600 x3; text-yellow-800 x2; dark:text-yellow-300 x2; bg-gray-50; dark:bg-gray-800; border-gray-200; dark:border-gray-700; text-gray-500; file:bg-blue-50; file:text-blue-700; hover:file:bg-blue-100; dark:file:bg-blue-900/30; dark:file:text-blue-400; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-700; text-red-700; dark:text-red-400; bg-green-50; dark:bg-green-900/20; border-green-200; dark:border-green-700; text-green-700; dark:text-green-400; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-700,text-yellow-800 x2; dark:text-yellow-300 x2; file:bg-blue-50; file:text-blue-700; hover:file:bg-blue-100; dark:file:bg-blue-900/30; dark:file:text-blue-400; bg-red-50; dark:bg-red-900/20; border-red-200; dark:border-red-700; text-red-700; dark:text-red-400; bg-green-50; dark:bg-green-900/20; border-green-200; dark:border-green-700; text-green-700; dark:text-green-400; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-700,structural-gray; status-warning; status-info; status-danger; status-success
insights-ui,markdown,insights-ui/src/app/styles/markdown.scss,44,44,"kept (sanctioned: status tones, chart palette, decorative gradients, or vendored styles)",hex:#24292f x6; hex:#d0d7de x4; hex:#0550ae x3; hex:#116329 x3; hex:#cf222e x3; hex:#82071e x3; hex:#f6f8fa x3; hex:#6e7781 x2; hex:#8250df x2; hex:#0a3069 x2; hex:#953800 x2; hex:#57606a x2; hex:#a9a9a9; hex:#3b2300; hex:#ffebe9; hex:#dafbe1; hex:#ffd8b5; hex:#eaeef2; hex:#8c959f; hex:#ffffff; hex:#0969da,hex:#24292f x6; hex:#d0d7de x4; hex:#0550ae x3; hex:#116329 x3; hex:#cf222e x3; hex:#82071e x3; hex:#f6f8fa x3; hex:#6e7781 x2; hex:#8250df x2; hex:#0a3069 x2; hex:#953800 x2; hex:#57606a x2; hex:#a9a9a9; hex:#3b2300; hex:#ffebe9; hex:#dafbe1; hex:#ffd8b5; hex:#eaeef2; hex:#8c959f; hex:#ffffff; hex:#0969da,hex-literal; hex-token-value(heading / primary-text)
insights-ui,MobileTopNav,insights-ui/src/components/core/TopNav/MobileTopNav.tsx,42,7,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-900 x6; dark:text-white x6; hover:bg-gray-50 x5; dark:hover:bg-white/5 x5; dark:text-gray-400 x4; text-gray-500 x3; text-[#F59E0B] x2; sm:ring-gray-900/10; dark:bg-gray-900; text-gray-700; divide-gray-500/10; text-blue-600; hover:text-blue-500; dark:text-blue-400; dark:hover:text-blue-300; bg-white; dark:sm:ring-white/10; dark:divide-white/10,dark:hover:bg-white/5 x5; text-amber-500 x2,structural-gray; white-black; arbitrary-hex; status-info
insights-ui,[analysisTemplateId]/page,insights-ui/src/app/admin-v1/analysis-templates/[analysisTemplateId]/page.tsx,41,0,fully migrated to theme tokens,text-white x9; bg-gray-800 x7; text-gray-400 x5; text-gray-300 x5; border-gray-700 x5; bg-gray-900 x3; border-gray-800 x3; text-blue-500; text-blue-400; hover:text-blue-300; text-gray-500,,white-black; structural-gray; status-info
insights-ui,CreatePresentationModal,insights-ui/src/components/presentations/CreatePresentationModal.tsx,41,11,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,dark:bg-gray-800 x7; dark:border-gray-600 x6; text-gray-800 x4; dark:text-gray-200 x4; border-blue-500 x2; bg-blue-50 x2; dark:bg-blue-900 x2; border-gray-300 x2; hover:border-gray-400 x2; text-gray-500 x2; text-red-500; bg-gray-50; text-gray-600; dark:text-gray-400; bg-red-100; dark:bg-red-900; text-red-700; dark:text-red-200,border-blue-500 x2; bg-blue-50 x2; dark:bg-blue-900 x2; text-red-500; bg-red-100; dark:bg-red-900; text-red-700; dark:text-red-200,structural-gray; status-info; status-danger
insights-ui,MoveSubIndustryModal,insights-ui/src/app/admin-v1/industry-management/MoveSubIndustryModal.tsx,40,17,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-900 x4; dark:text-gray-100 x4; text-gray-600 x4; dark:text-gray-400 x4; bg-gray-50 x2; dark:bg-gray-800 x2; text-gray-400 x2; text-red-500 x2; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-800; text-yellow-800; dark:text-yellow-200; text-yellow-700; dark:text-yellow-300; bg-red-600; hover:bg-red-700; bg-blue-50; dark:bg-blue-900/20; border-blue-200; dark:border-blue-800; text-blue-700; dark:text-blue-300,text-red-500 x2; bg-yellow-50; dark:bg-yellow-900/20; border-yellow-200; dark:border-yellow-800; text-yellow-800; dark:text-yellow-200; text-yellow-700; dark:text-yellow-300; bg-red-600; hover:bg-red-700; bg-blue-50; dark:bg-blue-900/20; border-blue-200; dark:border-blue-800; text-blue-300,structural-gray; status-danger; status-warning; status-info
insights-ui,CalculatorClient,insights-ui/src/app/tariff-calculator/CalculatorClient.tsx,40,39,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,focus:ring-amber-300/40 x9; focus:border-amber-300/60 x9; from-amber-500 x2; to-amber-400 x2; hover:from-amber-400 x2; hover:to-amber-300 x2; text-black x2; placeholder-gray-500; text-red-400; border-amber-300/25; text-emerald-400; border-red-500/40; bg-red-500/10; text-red-300; accent-amber-500; bg-emerald-500/15; text-emerald-300; bg-rose-500/15; text-rose-300,focus:ring-amber-300/40 x9; focus:border-amber-300/60 x9; from-amber-500 x2; to-amber-400 x2; hover:from-amber-400 x2; hover:to-amber-300 x2; text-black x2; text-red-400; border-amber-300/25; text-emerald-400; border-red-500/40; bg-red-500/10; text-red-300; accent-amber-500; bg-emerald-500/15; text-emerald-300; bg-rose-500/15; text-rose-300,status-warning; white-black; structural-gray; status-danger; status-success
insights-ui,SearchBar,insights-ui/src/components/core/SearchBar/SearchBar.tsx,40,14,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-400 x4; text-white x3; border-gray-600 x2; focus:ring-amber-500 x2; text-amber-400 x2; border-gray-700/50 x2; bg-gray-700; text-gray-100; placeholder-gray-400; bg-gray-800; hover:text-amber-300; bg-gray-700/40; border-amber-400; focus:border-amber-500; placeholder-gray-300; bg-gray-800/95; border-gray-600/40; text-gray-300; focus:ring-orange-500; border-indigo-500; bg-indigo-600/20; hover:bg-gray-700/50; text-indigo-400; hover:text-indigo-300; hover:text-white; text-black; from-[#F59E0B]; to-[#FBBF24]; hover:from-[#F97316]; hover:to-[#F59E0B]; bg-[#4F46E5],focus:ring-amber-500 x2; text-amber-400 x2; hover:text-amber-300; border-amber-400; focus:border-amber-500; from-amber-500; to-amber-400; hover:from-orange-500; hover:to-amber-500; focus:ring-orange-500; bg-indigo-600/20; text-black,structural-gray; white-black; status-warning; brand-indigo; arbitrary-hex
insights-ui,ManageLinksModal,insights-ui/src/app/admin-v1/stock-scenarios/ManageLinksModal.tsx,39,4,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-300 x7; text-white x7; bg-[#111827] x5; border-[#374151] x5; text-gray-400 x4; text-gray-500 x2; text-emerald-400 x2; text-gray-200; border-gray-700/50; bg-gray-900/40; text-red-500; text-red-400; bg-gray-800; border-gray-600,text-emerald-400 x2; text-red-500; text-red-400,structural-gray; white-black; arbitrary-hex; status-success; status-danger
